row,paper_id,title,has_mechanism,mechanism_name,channel,consequence,is_extension_of,confidence,notes
24,1733eb7792f7a43dd21f51f4d1017a1bffd217b5,Lost in the Middle: How Language Models Use Long Contexts,Y,lost in the middle,direct-input,reasoning-corruption,,high,Origin paper coining the term; U-shaped positional accuracy curve in long-context QA.
25,3d68522abfadfc8ee6b7ec9edaaf91f1b2f38e5e,Large Language Models Can Be Easily Distracted by Irrelevant Context,Y,distraction by irrelevant context,direct-input,reasoning-corruption,,high,Origin paper (GSM-IC); single irrelevant sentence collapses grade-school math accuracy.
26,ac5824e9ff924a937d9eef379d0b581de2417678,RULER: What's the Real Context Size of Your Long-Context Language Models?,N,,direct-input,reasoning-corruption,,,"RULER benchmark measures long-context degradation using existing framings (NIAH, aggregation, multi-hop); does not itself name a new mechanism."
27,60d3856bcf01c382a7a1b41aa6d8c95665397779,NoLiMa: Long-Context Evaluation Beyond Literal Matching,N,,direct-input,reasoning-corruption,,,"NoLiMa critiques NIAH-style benchmarks for being solvable via literal/lexical matching shortcuts; a benchmark-methodology contribution, not a new degradation mechanism."
28,55e0300470bc99172e763f6fd6d3e7935f7d90e0,Context Length Alone Hurts LLM Performance Despite Perfect Retrieval,Y,UNNAMED: context-length-induced degradation independent of retrieval failure,direct-input,reasoning-corruption,context rot,high,"Explicitly frames as previously-unrecognized: accuracy drops with length even at 100% retrieval exact-match, distinct from retrieval/distraction explanations."
29,7af5369308e2ee98df1e458f3e040ce674559f1d,Drift No More? Context Equilibria in Multi-Turn LLM Interactions,Y,context drift,direct-input,reasoning-corruption,context drift,low,"Studies dynamics of an existing named phenomenon (context drift), showing it stabilizes at model-specific equilibria rather than growing unboundedly; refines rather than introduces."
30,bb5d81576c113f0b16234fd0db4238a4281c8388,LLMs Get Lost In Multi-Turn Conversation,Y,UNNAMED: getting lost in multi-turn conversation (premature-answer unreliability under underspecification),direct-input,reasoning-corruption,,high,"Paper's own framing (title); large multi-turn vs single-turn performance gap driven by premature answering, incorrect assumptions, over-reliance on earlier turns."
31,6311ff8a02daf56232ce7d4fac640b912ec9e670,MultiChallenge: A Realistic Multi-Turn Conversation Evaluation Benchmark Challenging to Frontier LLMs,N,,direct-input,reasoning-corruption,,,"MultiChallenge benchmark categorizes 4 known-type multi-turn challenges (instruction retention, inference memory, versioned editing, self-coherence); benchmark contribution, not a new named mechanism."
32,579fa5e99937ddf437eda7ae00c3bdf62f32d1e9,Diagnosing and Mitigating Context Rot in Long-horizon Search,Y,context rot (agentic/long-horizon search),tool-output,reasoning-corruption,context rot,low,Extends context rot to multi-turn agentic deep-search setting with a terminal-state taxonomy (give up / uncertain / confident-wrong); extension of existing term to new setting.
33,4b39c5af6be0fe1731bd4add77b5f4e1d6340a7f,AttnComp: Attention-Guided Adaptive Context Compression for Retrieval-Augmented Generation,N,,RAG,reasoning-corruption,,,"AttnComp is a context-compression defense method; contribution is the fix, not a new mechanism."
