row,paper_id,title,has_defense,defense_name,channel,consequence,defense_intervention_point,track,validated_against,is_extension_of,confidence,notes
2,705e49afd92130f2bc1e0d4d0b1f6cb14e88803f,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,N,,,,,Security,,,high,"IPI attack/taxonomy paper; discusses candidate mitigations only qualitatively, no proposed defense"
3,c8eee9766f0968e8f1b1be0731bc70b85be0ac97,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,N,,,,,Security,,,high,"InjecAgent benchmark paper, attack-only"
4,cf95279b1da9de1aad9e7c651f5048f69af295ed,AgentDojo: A Dynamic Environment to Evaluate Attacks and Defenses for LLM Agents,N,,,,,Security,,,high,"AgentDojo benchmark; tests existing defenses (delimiters, ProtectAI, sandwiching, tool filter), proposes none new"
5,f4e06256ab07727ff4e0465deea83fcf45012354,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models,N,,,,,Security,,,high,PoisonedRAG attack paper
6,b6948a9e8b3eec5a56a80c69727154fcd7ececce,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,N,,,,,Security,,,high,AgentPoison attack paper
7,34df7d82136868e5d492968647efd17d442a6720,MCPTox: A Benchmark for Tool Poisoning on Real-World MCP Servers,N,,,,,Security,,,high,"MCPTox benchmark, attack-only"
8,50bc6725b958e720005da3f383daae71fff20647,MCP-SafetyBench: A Benchmark for Safety Evaluation of Large Language Models with Real-World MCP Servers,N,,,,,Security,,,high,"MCP-SafetyBench benchmark; tests generic 'Safety Prompt' baseline, not a novel proposed defense"
9,bb33f9e07e661b52a6fade948f71d5a0e0bbc773,MCP Security Bench (MSB): Benchmarking Attacks Against Model Context Protocol in LLM Agents,N,,,,,Security,,,high,"MSB benchmark; uses prior MCIP classifier as defense baseline, proposes no new defense"
10,b1d80b2eda7e175e235185bdc7df4e8233f36ef4,MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval,N,,,,,Security,,,high,MemoryGraft attack paper
11,1c9bcfc9cdc00223df43dc6a1fa1a2621d151f35,Hidden in Memory: Sleeper Memory Poisoning in LLM Agents,N,,,,,Security,,,high,Sleeper memory poisoning attack paper
12,f3b3def5d2ed0bbec21a3825ea5cdbc7cd1c6f7e,Skill-Inject: Measuring Agent Vulnerability to Skill File Attacks,N,,,,,Security,,,high,"Skill-Inject benchmark, attack-only"
13,02834792c8d9631bbfd28163b2106e0e3cc7d127,Supply-Chain Poisoning Attacks Against LLM Coding Agent Skill Ecosystems,N,,,,,Security,,,high,PoisonedSkills/DDIPE supply-chain attack paper
14,33bceaac7888ac8c08e35b6045a7a2619e210e4e,Oracle Poisoning: Corrupting Knowledge Graphs to Weaponise AI Agent Reasoning,N,,,,,Security,,,high,Oracle Poisoning attack paper
15,830cb22483595ec0421398af195842d788e4ea6e,MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,Y,MELON (Masked re-Execution and TooL comparisON),tool-output,goal-hijack,reasoning,Security,adversarial,,high,"Training-free provable IPI defense via masked re-execution + tool-call comparison; evaluated against IPI attacks (ASR vs baselines: Delimiting, Repeat Prompt, Tool Filter, DeBERTa/LLM detectors)"
16,f201f4529e2e8cd1fe6f8856779a50e26a16749c,"Depth-Dependent Indirect Prompt Injection in Tool-Calling ReAct Agents: Injection Depth, Payload Framing, and Turn-Budget Sensitivity",N,,,,,Security,,,high,"Empirical study of injection depth/framing/turn-budget; no proposed defense, only diagnostic"
17,e3a49a110801fd961db887f8af1239cc79b55a5b,Poisoning Retrieval Corpora by Injecting Adversarial Passages,N,,,,,Security,,,high,Corpus poisoning attack paper (adversarial passages via HotFlip)
18,d8d0d704446ffaf09b9722360ed76341934ec3a3,TrojanRAG: Retrieval-Augmented Generation Can Be Backdoor Driver in Large Language Models,N,,,,,Security,,,high,TrojanRAG attack paper
19,a2a4ddbed34916cfa345e957cf060da99685e37b,Pandora: Jailbreak GPTs by Retrieval Augmented Generation Poisoning,N,,,,,Security,,,high,Pandora RAG-jailbreak attack paper
20,1027d120189fd6cd9aec1af273cd9a5baaf645d7,BadRAG: Identifying Vulnerabilities in Retrieval Augmented Generation of Large Language Models,N,,,,,Security,,,high,BadRAG attack paper
21,9716eff749e27faf90abb1b7c88728e23ed35032,ConfusedPilot: Confused Deputy Risks in RAG-based LLMs,N,,,,,Security,,,high,"ConfusedPilot vulnerability demonstration, no defense proposed"
22,19afd7b97061fdf0dd4a4726bef4ed8acd31a0a8,Corpus Poisoning via Approximate Greedy Gradient Descent,N,,,,,Security,,,high,"AGGD is an improved corpus-poisoning ATTACK method (better than HotFlip), not a defense"
23,3b81eca915a041b12eab31ffa62fca5bdabfbf17,Certifiably Robust RAG against Retrieval Corruption,Y,RobustRAG,RAG,silent-corruption,ingestion,Security,adversarial,,high,First certifiably-robust-RAG defense via isolate-then-aggregate; threat model is adaptive white-box retrieval-corruption attacker
24,1733eb7792f7a43dd21f51f4d1017a1bffd217b5,Lost in the Middle: How Language Models Use Long Contexts,N,,,,,ML/AI,,,high,"Lost in the Middle - diagnostic long-context benchmark paper, no defense proposed"
25,3d68522abfadfc8ee6b7ec9edaaf91f1b2f38e5e,Large Language Models Can Be Easily Distracted by Irrelevant Context,N,,,,,ML/AI,,,high,"GSM-IC distractibility benchmark; tests existing techniques (self-consistency, CoT variants) as mitigations, none newly proposed by this paper"
26,ac5824e9ff924a937d9eef379d0b581de2417678,RULER: What's the Real Context Size of Your Long-Context Language Models?,N,,,,,ML/AI,,,high,"RULER benchmark, diagnostic only"
27,60d3856bcf01c382a7a1b41aa6d8c95665397779,NoLiMa: Long-Context Evaluation Beyond Literal Matching,N,,,,,ML/AI,,,high,"NoLiMa benchmark, diagnostic only"
28,55e0300470bc99172e763f6fd6d3e7935f7d90e0,Context Length Alone Hurts LLM Performance Despite Perfect Retrieval,Y,Retrieve-then-Solve,direct-input,reasoning-corruption,none,ML/AI,incidental,,low,"Paper's core contribution is diagnostic (context length alone hurts even with perfect retrieval); proposes simple 'retrieve-then-solve' two-step prompting mitigation as a secondary contribution. Excel codes defense_intervention_point=none despite this, suggesting borderline case"
29,7af5369308e2ee98df1e458f3e040ce674559f1d,Drift No More? Context Equilibria in Multi-Turn LLM Interactions,N,,,,,ML/AI,,,high,"Core contribution is a theoretical/diagnostic dynamical model of context-drift equilibria; 'goal-reminder' intervention is a simple existing technique used to demonstrate controllability, not a novel named defense"
30,bb5d81576c113f0b16234fd0db4238a4281c8388,LLMs Get Lost In Multi-Turn Conversation,N,,,,,ML/AI,,,high,"Core contribution is the 'lost in conversation' diagnostic benchmark/phenomenon; RECAP/SNOWBALL are simple existing agent-style strategies tested as partial mitigations, not novel proposed techniques (only 15-20% improvement, explicitly framed as insufficient)"
31,6311ff8a02daf56232ce7d4fac640b912ec9e670,MultiChallenge: A Realistic Multi-Turn Conversation Evaluation Benchmark Challenging to Frontier LLMs,N,,,,,ML/AI,,,high,"MultiChallenge benchmark paper, diagnostic only, no defense proposed"
32,579fa5e99937ddf437eda7ae00c3bdf62f32d1e9,Diagnosing and Mitigating Context Rot in Long-horizon Search,Y,UNNAMED: Rot-aware rejection-sampling filter for long-horizon search,tool-output,reasoning-corruption,reasoning,ML/AI,incidental,,medium,"Paper diagnoses 'context rot' in deep-search agents and separately proposes a rot-aware rejection-sampling filter (excludes give-up/uncertain trajectories before majority-vote aggregation), shown to compose with context-management techniques. The context-management variants (compaction/trimming/isolation) themselves are evaluated as existing strategies, not new"
33,4b39c5af6be0fe1731bd4add77b5f4e1d6340a7f,AttnComp: Attention-Guided Adaptive Context Compression for Retrieval-Augmented Generation,Y,AttnComp (Attention-guided Context Compression),RAG,reasoning-corruption,ingestion,ML/AI,incidental,,high,"Novel attention-guided adaptive extractive compression method for RAG; addresses irrelevant retrieved content, non-adversarial"
34,896845aa992d50182227e4eb2883f784e16fe60b,ALCUNA: Large Language Models Meet New Knowledge,N,,,,,ML/AI,,,high,"ALCUNA/KnowGen - benchmark construction method for novel-knowledge evaluation, not a defense"
35,ddbd8fe782ac98e9c64dd98710687a962195dd9b,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Y,Self-RAG,RAG,reasoning-corruption,reasoning,ML/AI,incidental,,high,Trains adaptive retrieve/critique reflection-token framework; addresses incidental indiscriminate retrieval and unsupported generation
