row,paper_id,title,has_defense,defense_name,channel,consequence,defense_intervention_point,track,validated_against,is_extension_of,confidence,notes
465,dfd55d856ccb37a4599f52a31fb1e6d109b168db,MINTEval: Evaluating Memory under Multi-Target Interference in Long-Horizon Agent Systems,N,,,,,ML/AI,,,high,"Benchmark paper only; no proposed mitigation, purely measures memory-interference failure across existing systems."
467,f6352c670c573240d310df585d0cf3770054740c,Learning on the Job: An Experience-Driven Self-Evolving Agent for Long-Horizon Tasks,N,,,,,ML/AI,,,high,"MUSE is a general self-evolving-memory capability architecture, not framed/evaluated as a mitigation for context/memory corruption; paper explicitly notes self-poisoning risk is unaddressed/not evaluated."
468,e90f31290cb2cba80abdaec108ebe764b2440a61,REMAC: Self-Reflective and Self-Evolving Multi-Agent Collaboration for Long-Horizon Robot Manipulation,N,,,,,ML/AI,,,high,General robotic multi-agent planning capability paper (pre/post-condition checks + reflection); not framed as a named context-pollution defense.
469,10ab7d6caefec453d36640c7a839ed2080a2d060,Beyond Ten Turns: Unlocking Long-Horizon Agentic Search with Large-Scale Asynchronous RL,N,,,,,ML/AI,,,high,RL training-infrastructure and data-synthesis paper (ASearcher); no context-pollution defense proposed.
470,8c1138cba2032c79da540321e04890e9f7fe6b2c,LaMMA-P: Generalizable Multi-Agent Long-Horizon Task Allocation and Planning with LM-Driven PDDL Planner,N,,,,,ML/AI,,,high,Multi-agent PDDL planning capability framework; not a context-pollution defense.
471,e4ab6ad0fd03fc3bc953618ab5fccee677695035,ELHPlan: Efficient Long-Horizon Task Planning for Multi-Agent Collaboration,N,,,,,ML/AI,,,high,Planning-efficiency framework (Action Chains); not framed as a defense against context pollution/degradation.
472,adfb2a3dd1d4913fb68f057a0b92c4aa224adcea,ReAcTree: Hierarchical LLM Agent Trees with Control Flow for Long-Horizon Task Planning,N,,,,,ML/AI,,,low,"Hierarchical subgoal-isolated tree architecture does reduce error/hallucination propagation across long trajectories (a context-rot-adjacent mechanism), but paper frames it purely as a planning-capability architecture rather than a citable named context-pollution mitigation."
474,e87dc5cbdd7e350c5be5fad22d13c97c0ceafb51,Long-Horizon Planning for Multi-Agent Robots in Partially Observable Environments,N,,,,,ML/AI,,,high,LLaMAR is a general multi-agent planning cognitive architecture; not a named context-pollution defense.
476,d1f9032d66b0245b3469a4a416a8249b8fa40d8b,Orchestrator: Active Inference for Multi-Agent Systems in Long-Horizon Tasks,N,,,,,ML/AI,,,high,"Active-inference coordination framework for multi-agent maze-solving; general capability paper, not a context-pollution defense."
478,6d2dbf831301cac045221fffc16315fac7d7646e,"AppCopilot: Toward General, Accurate, Long-Horizon, and Efficient Mobile Agent",N,,,,,ML/AI,,,high,Position/technical-report paper describing an end-to-end mobile-agent system; no single named context-pollution defense mechanism as its core contribution.
479,e716aedaa2ee0b2024c9ed751392aff573531d36,SAG-Agent: Enabling Long-Horizon Reasoning in Strategy Games via Dynamic Knowledge Graphs,N,,,,,ML/AI,,,high,Experience-graph capability framework for GUI game agents; not a context-pollution defense.
480,dec51cfaee7ff30df5a19862fff84f5277c266c5,Mobile-Agent-RAG: Driving Smart Multi-Agent Coordination with Contextual Knowledge Empowerment for Long-Horizon Mobile Automation,Y,Mobile-Agent-RAG (Manager-RAG / Operator-RAG dual-level retrieval augmentation),RAG,reasoning-corruption,none,ML/AI,incidental,,low,"Introduces named dual-level RAG technique explicitly targeting 'strategic hallucinations' and 'operational errors' from static internal-knowledge reliance; borderline whether this counts as a distinct citable defense vs. domain-applied RAG. No adversarial evaluation, purely capability/accuracy benchmarking."
482,647c7ba851ec85bb01a5c8ab7718606f9ec871c7,ACON: Optimizing Context Compression for Long-horizon LLM Agents,Y,ACON (Agent Context Optimization),direct-input,reasoning-corruption,ingestion,ML/AI,incidental,,high,"Clear named context-compression defense against context-induced reasoning distraction/context rot in long-horizon agents; evaluated purely against naturally accumulating context growth, no adversarial threat model."
483,4a0c2e84b11b4ef997ca047b42b6ca3a778ff292,WebExplorer: Explore and Evolve for Training Long-Horizon Web Agents,N,,,,,ML/AI,,,high,Synthetic data generation + SFT/RL training methodology paper; no context-pollution defense proposed.
484,d61dea1dcdf159f226b90287f8899bb9c98d2ef4,AgentFold: Long-Horizon Web Agents with Proactive Context Management,Y,AgentFold (folding - granular condensation / deep consolidation context management),direct-input,reasoning-corruption,ingestion,ML/AI,incidental,,high,"Named proactive context-management technique explicitly addressing context saturation (ReAct noise accumulation) vs. irreversible loss from naive summarization; evaluated purely on natural long-horizon context growth, no adversarial content."
488,5f0f0c762c094bb6e1deba3222331ee51b98d1fc,Memory as Action: Autonomous Context Curation for Long-Horizon Agentic Tasks,Y,MemAct (Memory-as-Action) with Dynamic Context Policy Optimization,memory,reasoning-corruption,reasoning,ML/AI,incidental,,high,"Named RL-learned working-memory pruning/editing policy explicitly targeting attention dilution/lost-in-the-middle from unmanaged growing context; evaluated only against natural context growth, no adversarial threat model."
489,2f395b96c8f7bc517a425cff1bcdaef36f5d6739,OdysseyBench: Evaluating LLM Agents on Long-Horizon Complex Office Application Workflows,N,,,,,ML/AI,,,high,Benchmark + benchmark-generation-framework (HomerAgents) paper; observes summarization-RAG outperforms raw retrieval but does not propose this as a novel technique - purely an evaluation/benchmark contribution.
