row,paper_id,title,has_technique,technique_name,channel,consequence,is_extension_of,confidence,notes
2,705e49afd92130f2bc1e0d4d0b1f6cb14e88803f,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,Y,Indirect Prompt Injection (IPI),tool-output,goal-hijack,,high,"Seminal paper defining IPI: attacker plants instructions in retrieved content (web/email/etc), no direct user prompt needed. Foundational technique class."
3,c8eee9766f0968e8f1b1be0731bc70b85be0ac97,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,N,,tool-output,goal-hijack,,high,InjecAgent is a benchmark evaluating IPI attacks against tool-integrated agents; does not introduce a new attack method.
4,cf95279b1da9de1aad9e7c651f5048f69af295ed,AgentDojo: A Dynamic Environment to Evaluate Attacks and Defenses for LLM Agents,N,,tool-output,goal-hijack,,high,"AgentDojo is a dynamic benchmarking framework for attacks/defenses on tool-calling agents; evaluates existing prompt injection attacks, no new attack technique introduced."
5,f4e06256ab07727ff4e0465deea83fcf45012354,PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models,Y,PoisonedRAG,RAG,goal-hijack,,high,First knowledge-corruption attack targeting the RAG knowledge database itself; optimization-based crafting of malicious texts to be retrieved and induce target answer.
6,b6948a9e8b3eec5a56a80c69727154fcd7ececce,AgentPoison: Red-teaming LLM Agents via Poisoning Memory or Knowledge Bases,Y,AgentPoison,memory,persistence-backdoor,,high,First backdoor/red-teaming attack poisoning agent long-term memory/RAG knowledge base via optimized trigger + few malicious demonstrations.
7,34df7d82136868e5d492968647efd17d442a6720,MCPTox: A Benchmark for Tool Poisoning on Real-World MCP Servers,N,,tool-metadata,goal-hijack,,low,"MCPTox is a benchmark for Tool Poisoning Attacks (TPA) against MCP servers; TPA as a general concept predates this paper (cf. Invariant Labs), though MCPTox's specific attack-generation paradigms (Explicit/Implicit Trigger-Function Hijacking, Implicit Trigger-Parameter Tampering) could arguably be a novel attack-construction methodology. Leaning N as primarily a benchmark/evaluation paper."
8,50bc6725b958e720005da3f383daae71fff20647,MCP-SafetyBench: A Benchmark for Safety Evaluation of Large Language Models with Real-World MCP Servers,N,,tool-metadata,goal-hijack,,high,"MCP-SafetyBench is a benchmark aggregating/taxonomizing known MCP attack types (tool poisoning, function overlapping, rug pulls, etc) across real MCP servers; no single new attack technique introduced."
9,bb33f9e07e661b52a6fade948f71d5a0e0bbc773,MCP Security Bench (MSB): Benchmarking Attacks Against Model Context Protocol in LLM Agents,N,,tool-metadata,goal-hijack,,low,"MSB is a benchmark introducing a taxonomy of 12 MCP attack types (Name Collision, Preference Manipulation, Out-of-Scope Parameter, Retrieval Injection, etc) executed on real MCP servers plus a new NRP metric; these are categorizations of attack surface rather than one coined technique, but some category names (e.g. 'Out-of-Scope Parameter') could be considered novel attack primitives specific to this paper -- flagging for dedup-step review."
10,b1d80b2eda7e175e235185bdc7df4e8233f36ef4,MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval,Y,MemoryGraft,memory,persistence-backdoor,,high,"First persistent, trigger-free memory-poisoning attack exploiting agents' 'semantic imitation heuristic'; explicitly distinguished from AgentPoison/MINJA/InjecMEM."
11,1c9bcfc9cdc00223df43dc6a1fa1a2621d151f35,Hidden in Memory: Sleeper Memory Poisoning in LLM Agents,Y,Sleeper Memory Poisoning (Actor-Critic universal poisoning attack),memory,persistence-backdoor,,high,"Delayed, cross-session memory poisoning attack: adversary causes assistant to write a fabricated memory that lies dormant until later retrieved; proposes Actor-Critic universal poisoning attack method."
12,f3b3def5d2ed0bbec21a3825ea5cdbc7cd1c6f7e,Skill-Inject: Measuring Agent Vulnerability to Skill File Attacks,N,,skill,goal-hijack,,low,"Skill-Inject is framed as 'the first benchmark for measuring prompt-injection vulnerabilities specific to agent skills'; primarily an evaluation benchmark/taxonomy (8 attack categories x obvious/contextual) rather than a single novel attack algorithm, though the skill-file injection surface itself is novel context. Borderline -- flagged low confidence."
13,02834792c8d9631bbfd28163b2106e0e3cc7d127,Supply-Chain Poisoning Attacks Against LLM Coding Agent Skill Ecosystems,Y,PoisonedSkills / DDIPE (Document-Driven Implicit Payload Execution),supply-chain,goal-hijack,,high,Novel software supply-chain attack surface via LLM coding agent skill ecosystems; DDIPE achieves execution bypass where explicit natural-language payloads fail (0% baseline).
14,33bceaac7888ac8c08e35b6045a7a2619e210e4e,Oracle Poisoning: Corrupting Knowledge Graphs to Weaponise AI Agent Reasoning,Y,Oracle Poisoning,RAG,reasoning-corruption,,high,"Defines and demonstrates a novel attack class corrupting structured knowledge graphs queried via MCP tool-use, causing wrong conclusions via sound reasoning over corrupted data; distinct from prompt injection and RAG poisoning."
15,830cb22483595ec0421398af195842d788e4ea6e,MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,N,,tool-output,goal-hijack,,high,"MELON is a defense (detection via masked re-execution and tool-call comparison) against IPI, not a new attack."
16,f201f4529e2e8cd1fe6f8856779a50e26a16749c,"Depth-Dependent Indirect Prompt Injection in Tool-Calling ReAct Agents: Injection Depth, Payload Framing, and Turn-Budget Sensitivity",N,,tool-output,goal-hijack,,low,"Empirical study of injection depth, payload framing, and turn-budget sensitivity for existing IPI attacks against ReAct agents; investigates risk dimensions rather than proposing a new attack method."
17,e3a49a110801fd961db887f8af1239cc79b55a5b,Poisoning Retrieval Corpora by Injecting Adversarial Passages,Y,UNNAMED: gradient-based corpus poisoning (adversarial passage injection),RAG,silent-corruption,HotFlip,high,"Seminal corpus-poisoning attack on dense retrievers (Zhong et al.); crafts adversarial passages via discrete-token gradient optimization adapted from HotFlip, generalizes across queries. No proper coined name given by paper itself."
18,d8d0d704446ffaf09b9722360ed76341934ec3a3,TrojanRAG: Retrieval-Augmented Generation Can Be Backdoor Driver in Large Language Models,Y,TrojanRAG,RAG,persistence-backdoor,,high,Joint backdoor attack shifting backdoor implantation from LLM weights to the RAG knowledge-mounting component; constructs trigger sets for conditional backdoor activation.
19,a2a4ddbed34916cfa345e957cf060da99685e37b,Pandora: Jailbreak GPTs by Retrieval Augmented Generation Poisoning,Y,PANDORA (RAG Poisoning jailbreak),RAG,goal-hijack,,high,"Indirect jailbreak via RAG poisoning: crafts malicious documents to evade content filters and get retrieved, jailbreaking GPTs without directly prompting the target model."
20,1027d120189fd6cd9aec1af273cd9a5baaf645d7,BadRAG: Identifying Vulnerabilities in Retrieval Augmented Generation of Large Language Models,Y,BadRAG,RAG,goal-hijack,PoisonedRAG,high,Conditional/triggered backdoor poisoning of RAG corpus; explicitly positioned as going beyond prior fixed query-answer poisoning (PoisonedRAG) via semantic-trigger conditioning.
21,9716eff749e27faf90abb1b7c88728e23ed35032,ConfusedPilot: Confused Deputy Risks in RAG-based LLMs,Y,ConfusedPilot,RAG,data-exfiltration,,low,Names a vulnerability class (confused-deputy risk) in commercial RAG assistants (MS Copilot case study); largely qualitative demonstration rather than a novel algorithmic attack technique -- borderline between vulnerability disclosure and named attack.
22,19afd7b97061fdf0dd4a4726bef4ed8acd31a0a8,Corpus Poisoning via Approximate Greedy Gradient Descent,Y,AGGD (Approximate Greedy Gradient Descent),RAG,silent-corruption,HotFlip / corpus poisoning (Zhong et al.),high,Explicit algorithmic improvement over HotFlip's search strategy for corpus poisoning of dense retrievers; matches the 'extension of X' pattern called out in task instructions.
23,3b81eca915a041b12eab31ffa62fca5bdabfbf17,Certifiably Robust RAG against Retrieval Corruption,N,,RAG,silent-corruption,,high,"RobustRAG is a certified-robustness defense framework against retrieval corruption attacks, not a new attack."
39,9d7db5cd7d3af51ea491cbcbc3129939b6957244,Systematization of Knowledge: Security and Safety in the Model Context Protocol Ecosystem,N,,tool-metadata,goal-hijack,,high,SoK/survey paper taxonomizing MCP security and safety risks; no new attack technique.
40,38a1dc6d93422b3213c4a9e47e859783fff8fa3d,A Systematic Survey of Security Threats and Defenses in LLM-Based AI Agents: A Layered Attack Surface Framework,N,,tool-output,goal-hijack,,high,Systematic survey proposing Layered Attack Surface Model (LASM) taxonomy of existing agentic-AI security threats; no new attack technique.
41,7e6092a09fce843c98941fe1c0c4342b9d2169d8,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle",N,,memory,persistence-backdoor,,high,Survey on long-term memory security proposing a Memory Lifecycle Framework taxonomy; no new attack technique.
42,13aca86f66eeaa0cec350f0f7a1251434d7bcc62,"A Lifecycle and Application-Stack Survey of Large Language Model Vulnerabilities: Attacks, Risks, Defenses, and Open Problems",N,,tool-output,goal-hijack,,high,"SoK/lifecycle survey of LLM vulnerabilities; taxonomy paper, no new attack technique."
44,db437d3cdc6b1a5910d0d89fc120f400b9ac80fc,"SoK: The Attack Surface of Agentic AI - Tools, and Autonomy",N,,tool-output,goal-hijack,,high,"SoK mapping attack surface of agentic AI (tools/autonomy); survey, no new attack technique."
45,8a410033cc924106c373c57d7032cc8b0756e69a,The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,N,,tool-output,goal-hijack,,high,"SoK on prompt injection threats to LLM agents based on 78-paper literature review; taxonomy, no new attack."
46,12d3fba8e3e5921f66aee5d027b226b8cc5db396,A Systematic Literature Review on LLM Defenses Against Prompt Injection and Jailbreaking: Expanding NIST Taxonomy,N,,direct-input,goal-hijack,,high,Systematic literature review of defenses against prompt injection/jailbreaking extending NIST taxonomy; no new attack.
47,8b8745ab7484ad513d6cb7b50d7f720d7baa98d7,"Prompt Injection Attacks on Agentic Coding Assistants: A Systematic Analysis of Vulnerabilities in Skills, Tools, and Protocol Ecosystems",N,,tool-output,goal-hijack,,high,"SoK on prompt injection against agentic coding assistants (Claude Code, Copilot, Cursor, Codex CLI); survey/taxonomy, no new attack."
48,title:fc1fc8c2fc85deb5,Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review,N,,direct-input,goal-hijack,,high,Comprehensive review/survey (45 sources) of prompt injection taxonomy; no new attack technique.
49,title:bcaa902d8db251f3,From Prompt Injections to Protocol Exploits,N,,tool-metadata,goal-hijack,,low,"Survey introducing 'first unified end-to-end threat model' for LLM-agent ecosystems (host-to-tool, agent-to-agent); formalizes adversarial capabilities but is framed as a survey/threat-model paper rather than a single concrete new attack technique -- flagged low confidence in case it contains a specific novel protocol-exploit technique buried in the full text."
50,0ed8da38a5fb60cd5fc70d325a63e6120111756c,Adaptive Attacks Break Defenses Against Indirect Prompt Injection Attacks on LLM Agents,N,,tool-output,goal-hijack,,low,"Adaptive Attacks Break Defenses: applies the adaptive-attack testing methodology (standard in adversarial ML, novel to LLM-agent IPI defenses) to break 8 existing defenses; a methodological contribution rather than one named attack technique, though it may contain several bespoke per-defense adaptive attacks worth checking individually."
51,9538721e4cc16422e006c3a04b536c9a1f636fa3,AgentVigil: Generic Black-Box Red-teaming for Indirect Prompt Injection against LLM Agents,Y,AgentVigil,tool-output,goal-hijack,,high,"First generic black-box automated red-teaming framework for IPI vulnerabilities, adapting fuzzing to multi-step agent setting; works without white-box access unlike prior automated attacks (AgentPoison, VWA-adv)."
52,9ddcbbff1e23b7f995fc363ad5123091f8866748,IPIGuard: A Novel Tool Dependency Graph-Based Defense Against Indirect Prompt Injection in LLM Agents,N,,tool-output,goal-hijack,,high,"IPIGuard is an execution-centric defense (Tool Dependency Graph) against IPI, not a new attack."
53,3835926e08ef43b543ee380600e4f271df589b84,Defending against Indirect Prompt Injection by Instruction Detection,N,,tool-output,goal-hijack,,high,"InstructDetector is a detection-based defense against IPI using hidden-state/attention features, not a new attack."
54,8af6009a8d55d456213f6819567eb3ace39dd176,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,N,,tool-output,goal-hijack,,high,"Task Shield is a task-alignment-enforcement defense against IPI, not a new attack."
55,2b73f8dbb2af737fe707df3b2dcb21a9cea62db5,Manipulating LLM Web Agents with Indirect Prompt Injection Attack via HTML Accessibility Tree,Y,UNNAMED: HTML accessibility-tree universal adversarial trigger injection (TWUI),tool-output,goal-hijack,GCG (Greedy Coordinate Gradient),low,"Adapts GCG to IPI setting for web agents by embedding universal adversarial triggers in webpage HTML/accessibility tree with flexible (non-suffix) trigger placement and an extended objective; meaningful adaptation but core search algorithm is GCG, so borderline extension vs application."
56,8974829e4269f5f1800f08603f052b29fa8b26a8,Attention is All You Need to Defend Against Indirect Prompt Injection Attacks in LLMs,N,,tool-output,goal-hijack,,high,"RENNERVATE is a white-box attention-based defense against IPI, not a new attack."
57,f502fd8f67f3f849d5ab19cc2cb694e0de2c7d4f,AGENTVIGIL: Automatic Black-Box Red-teaming for Indirect Prompt Injection against LLM Agents,Y,AgentVigil,tool-output,goal-hijack,,high,Title/abstract nearly identical to row 51's AgentVigil paper (source Excel row had empty abstract/tech_summary fields); appears to be a duplicate or alternate-venue version of the same AgentVigil technique -- flagging for dedup step to confirm and possibly merge with row 51.
58,b1d370e2a028b951ea000b035a1b7699f8495a0f,Mitigating Indirect Prompt Injection via Instruction-Following Intent Analysis,N,,tool-output,goal-hijack,,high,"IntentGuard is a defense against IPI via instruction-following intent analysis, not a new attack."
59,239a42e72cea398b972726e0907df5314f631bd3,AGENTFUZZER: Generic Black-Box Fuzzing for Indirect Prompt Injection against LLM Agents,Y,UNNAMED: AgentFuzzer (generic black-box fuzzing for IPI),tool-output,goal-hijack,,low,"Source Excel row had empty abstract/technical_summary/key_result fields -- judgment based on title alone ('Generic Black-Box Fuzzing for Indirect Prompt Injection against LLM Agents'). Appears to propose a fuzzing-based automated attack-generation technique distinct in name from AgentVigil, but cannot confirm novelty/algorithm details from available data. Needs manual follow-up."
60,11026bd51ede707c6c42be9c97b9d0d50d55bed5,AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification,N,,tool-output,goal-hijack,,high,"AgentSentry is an inference-time defense (temporal causal diagnostics + context purification) against IPI, not a new attack."
61,9aa8ef5683aa8f81d3e0a826c076b45ff0f2d270,[Short Paper] Forensic Analysis of Indirect Prompt Injection Attacks on LLM Agents,N,,tool-output,goal-hijack,,high,"Short paper on forensic analysis of LLM agent execution logs to detect IPI attacks after the fact; a detection/forensics method, not a new attack technique."
62,255e24a1097110cf227e73b2c202c95b1e3f657b,ClawGuard: A Runtime Security Framework for Tool-Augmented LLM Agents Against Indirect Prompt Injection,N,,tool-output,goal-hijack,,high,"ClawGuard is a runtime defense framework enforcing rule sets against IPI/tool poisoning/skill injection, not a new attack."
63,5e636dcdae92a44490fb581572a093ab134ae479,AttriGuard: Defeating Indirect Prompt Injection in LLM Agents via Causal Attribution of Tool Invocations,N,,tool-output,goal-hijack,,high,"AttriGuard is a causal-attribution-based defense against IPI, not a new attack."
64,56c8d97c85380eafca4d57da471015b5c037aac3,The Dangers of Indirect Prompt Injection Attacks on LLM-based Autonomous Web Navigation Agents: A Demonstration,N,,tool-output,goal-hijack,,low,"Source Excel row had empty abstract/technical_summary fields; title suggests a demonstration paper showing IPI feasibility against web navigation agents rather than a new attack technique, but cannot fully confirm from available data."
65,413e41f065d722e4316ebc56747ae5f6f4c53485,Defense Against Indirect Prompt Injection via Tool Result Parsing,N,,tool-output,goal-hijack,,high,"Tool Result Parsing is a training-free prompt-based defense against IPI, not a new attack."
66,fda75a14d8eda2bb64aff391b99bce89e42eccbe,AdapTools: Adaptive Tool-based Indirect Prompt Injection Attacks on Agentic LLMs,Y,AdapTools,tool-output,goal-hijack,,high,"Adaptive tool-based IPI attack designed to defeat reasoning-capable agents that cross-verify tool calls via CoT; identifies 'trinity of constraints' (adaptability, etc.) and proposes attacks satisfying them, addressing a gap where prior static template-based IPI attacks fail against reasoning models."
67,81eb760ebbe224ae52cd7aea8f7f2865e4134908,Overcoming the Retrieval Barrier: Indirect Prompt Injection in the Wild for LLM Systems,Y,UNNAMED: retrieval-aware IPI (trigger-fragment decomposition attack),RAG,goal-hijack,corpus poisoning / indirect prompt injection,high,"Formalizes IPI attacks that must actually be retrieved under natural queries (unlike prior work assuming pre-retrieved malicious text); decomposes malicious content into a retrieval-trigger fragment plus payload to jointly satisfy retrievability and injection, closing the 'retrieval barrier' gap."
