defense_row,defense_name,matched_mechanism_name,match_justification,match_confidence
1010,Instruction Hierarchy (privileged-instruction training),Tensor Trust: prompt extraction / prompt hijacking,"Evaluated on ""TensorTrust Prompt Hijacking and TensorTrust Robustness/password extraction (Toyer et al.)"" as named benchmarks, reporting a 63% improvement in system-prompt-extraction defense over baseline.",high
1012,StruQ (structured queries),BIPIA benchmark attack set,"Compared against ""the training-time defenses BIPIA (reproduced with its official code on Vicuna-7B)"" and evaluated on ""BIPIA's test set of 231 prompt-injectable samples over email, table and WebQA.""",high
1012,StruQ (structured queries),HackAPrompt: prompt-hacking taxonomy and 600k-prompt corpus,"Datasets list ""20 sub-sampled successful level-1 injections from the HackAPrompt competition dataset"" as part of the evaluation suite.",high
1012,StruQ (structured queries),Combined Attack (Open-Prompt-Injection),"The attack suite includes ""Completion-Real/Other/Close and combined variants"" alongside baselines ""summarized by Liu et al."", whose taxonomy is the source of the registry's Combined Attack entry; the paper's own wording (""combined variants"") does not explicitly confirm it is the same named Combined Attack, so confidence is medium.",medium
1013,Boundary awareness + explicit reminder,BIPIA benchmark attack set,"This is the paper that introduces BIPIA (""the first dedicated benchmark for indirect prompt injection"") and evaluates its own defenses on it; BIPIA is itself a registry entry, so the self-introduced benchmark counts per spec.",high
1017,SecAlign (preference optimization),Neural Exec,"Attack suite explicitly includes ""NeuralExec"" as one of the optimization-based injections tested against SecAlign, matching the registry's Neural Exec mechanism.",high
1020,Attention Tracker,Combined Attack (Open-Prompt-Injection),"Evaluated on the ""Open-Prompt-Injection benchmark (Liu et al.)"", the same source paper as the registry's Combined Attack (Open-Prompt-Injection) entry; the summary does not confirm which specific attack variant(s) within the benchmark were used, so confidence is medium rather than high.",medium
1021,UNNAMED: P2SQL mitigations (DB permission hardening + query rewriting),P2SQL injection (prompt-to-SQL),"The paper's own attack suite of seven P2SQL variants is directly what its four defenses are evaluated against, and P2SQL injection (prompt-to-SQL) is itself a registry entry sourced from this paper.",high
1030,UNNAMED: IPI detection + post-detection removal pipeline,Combined Attack (Open-Prompt-Injection),"Attack baselines explicitly list ""Naive, Ignore, Escape-Character, Fake-completion and Combined attacks (from Perez & Ribeiro, Breitenbach et al., Willison, and Liu et al.)"", directly naming Combined attacks sourced from Liu et al., the registry mechanism's source paper.",high
1035,PIGuard (Mitigating Over-defense for Free),BIPIA benchmark attack set,"""Evaluates malicious accuracy using PINT and BIPIA benchmark attack data"", a direct evaluation against the BIPIA registry mechanism.",high
1040,COIECD (contextual information-entropy constraint decoding),knowledge conflict (contextual vs parametric),"This is the same paper (""Discerning and Resolving Knowledge Conflicts through Adaptive Decoding with Contextual Information-Entropy Constraint"") that is the registry's source for the ""knowledge conflict (contextual vs parametric)"" mechanism; the defense evaluates itself on conflicting-vs-non-conflicting splits of NQ, SQuAD, StrategyQA and Counterfacts, which is that same phenomenon.",high
