defense_row,defense_name,matched_mechanism_name,match_justification,match_confidence
298,MCP-Guard,,"Baselines are prior MCP security tools (MCP-Scan, SafeMCP, MCP-Shield) and standalone LLM detectors, evaluated on custom MCP-ATTACK-BENCH and AgentDefense benchmarks; no specific named registry mechanism identified as the tested attack.",
303,GT-MCP (Game-Theoretic Multi-Agent Control),,"No head-to-head empirical baseline; threat model described only as generic categories (retrieval poisoning, semantic paraphrase drift, consensus mimicry, delayed-trigger activation, persistent memory corruption) not tied to a specific named registry mechanism.",
308,Skills Architecture (vs. MCP),,baselines_compared/key_result/technical_summary all None - no evaluation data available.,
313,SkillScan,,"Compared against general-purpose static analysis tools (Semgrep, Bandit) and own ablation stages, not against any specific named registry mechanism; large-scale corpus scan for vulnerability patterns, not a single attack mechanism eval.",
315,GoalAnchorCheck (D1) / CrossAgentConsensus (D2),PlanFlip,"Paper introduces and evaluates its defenses directly against PlanFlip, its own four-attack planning-phase injection framework (GoalSubstitution, PriorityInversion, ContextPollution, RoleConfusion), which is the registry entry PlanFlip.",high
316,Forensic LLM-Trace,,baselines_compared/key_result/technical_summary all None - no evaluation data available.,
317,AegisAgent,,"Evaluated against a self-defined unified framework of fifteen representative prompt injection attacks against LLM-HAR systems, none named individually or matched to a specific registry entry.",
318,G-Safeguard,PoisonedRAG,"Evaluated against a memory attack described as a PoisonRAG-style memory-attack setup, likely referencing PoisonedRAG adapted to the memory channel.",low
319,Maris,,Evaluated only against own Threat Emulator's passive/proactive attack scenarios on custom task suites; no named registry mechanism tested.,
322,TIVS-O agentic defense pipeline (Front-End Agent + Guard-Sanitizer + Policy Enforcer with semantic caching),,Compared against authors own prior TIVS baseline architecture and internal configuration variants on 301 unnamed adversarial prompts; no specific registry mechanism identified.,
323,UNNAMED: ICL-based multi-LLM agent harmfulness-detection framework,,baselines_compared/key_result/technical_summary all None - no evaluation data available.,
325,SafeClaw-R,,Evaluated against a deterministic regex baseline and own MaliciousAgentSkills/Safe-Exec benchmarks and Google Workspace risk scenarios; no specific named registry mechanism identified.,
331,UNNAMED: step-level fine-tuned industrial tool-call guardrail,,baselines_compared/key_result/technical_summary all None - no evaluation data available.,
332,UNNAMED: multi-agent privacy firewall (browser extension + MITM proxy + PII-detection pipeline),,"Compared against internal pipeline ablations and qualitatively against commercial DLP/guardrail tools (Presidio, LLM Guard, NeMo Guardrails); no specific registry attack mechanism tested.",
336,Agentic JWT (A-JWT),,"Compared against standard OAuth 2.0/JWT baseline using a generic STRIDE-derived 12-threat model, not any specific named registry mechanism.",
338,SafeAgent,Indirect Prompt Injection (IPI),"Evaluated on the ASB benchmark's IPI (Indirect Prompt Injection) attack category and on InjecAgent, directly measuring ASR reduction against indirect prompt injection attacks (tool-output/goal-hijack matches registry entry).",high
342,ARSM-Agent,,"Evaluated against generic attack categories (semantic perturbation, prompt injection, drug-name confusion, false-evidence attacks) on custom medical-decision tasks; none map to a specific named registry mechanism.",
343,UNNAMED: off-the-shelf LLM behavioral overseer (non-verbal interaction-trace adversarial-intent detection),,Evaluated on a prior trivia-game dataset of an RL-policy adversarial teammate manipulating trust; not a context-poisoning mechanism from the registry.,
346,UNNAMED: WAB Wasm-sandboxed capability-based authority mechanism (allowlisted API with explicit grant/revocation),,baselines_compared/key_result/technical_summary all None - no evaluation data available.,
347,UNNAMED: Cross-Agent Multimodal Provenance-Aware Defense Framework (text/visual sanitizer agents + output validator + provenance ledger),,baselines_compared/key_result/technical_summary all None - no evaluation data available.,
348,SentinelAgent,,"No quantitative baseline comparison; validated only via two custom-crafted case-study attack scenarios (phishing-style classifier manipulation, code-injection-disguised-as-summarization), neither matched to a specific named registry mechanism.",
351,Agent Privilege Separation (Reader/Actor two-agent isolation + JSON formatting),,"Evaluated on the LLMail-Inject challenge attack pool and compared to LLMail-Inject external defenses (Spotlighting, PromptShield, TaskTracker); the attack pool is a generic challenge benchmark, not a specific named registry mechanism.",
353,Defe-Prompt,F2A (Feign Agent Attack),"Paper introduces and empirically evaluates Defe-Prompt directly as a mitigation against its own F2A (Feign Agent Attack), reducing Hit Scores across nine LLMs.",high
356,DASGuard,ClawTrojan multi-step trojan/backdoor attack paradigm,"Paper builds the ClawTrojan benchmark of multi-step trojan/backdoor attack chains and evaluates DASGuard's ASR reduction directly against it (step ASR, full-chain ASR, chain penetration).",high
364,ARGUS,,"Compared against 8 prior defenses (Delimiters, Sandwich, Instructional, ToolFilter, InjecGuard, MELON, ACE, DRIFT) on its own AgentLure benchmark plus AgentDojo/BIPIA/ASB; no specific named registry attack mechanism identified as tested.",
366,LlamaFirewall (PromptGuard 2 + AlignmentCheck + modular guardrail engine),,"Compared against prior detectors (PromptGuard 1, ProtectAI, Deepset PI Detector, LLM Warden) on AgentDojo, an in-house goal-hijacking benchmark, and CyberSecEval3; no specific named registry mechanism identified as tested.",
367,UNNAMED: six composable agent design patterns (e.g. Action-Selector) for prompt-injection-resistant architecture,,"Position/design paper with qualitative case studies only, no quantitative benchmarking against any named registry mechanism.",
368,"FASA (zero-trust, full-lifecycle defense philosophy)",,"Case-study/systematization paper (baselines explicitly N/A, no quantitative benchmarking); cites real disclosed OpenClaw vulnerabilities (e.g. CVE-2026-25253) as motivating examples rather than mechanisms the proposed FASA defense was actually tested against.",
