row,paper_id,title,has_defense,defense_name,channel,consequence,defense_intervention_point,track,validated_against,is_extension_of,confidence,notes
751,f3a1695cd2de9a1561a96fa0da3cdf9adb388b47,Learning to Inject: Automated Prompt Injection via Reinforcement Learning,N,,,,,Security,,,,"Attack paper (AutoInject RL prompt injection attack), no defense proposed."
752,ee9dca5745032dea194209e3ad73b7ddae721ad7,Clouding the Mirror: Stealthy Prompt Injection Attacks Targeting LLM-based Phishing Detection,Y,InjectDefuser,tool-output,goal-hijack,none,Security,adversarial,,high,Prompt hardening + allowlist RAG + output validation defense against PI for phishing detection.
753,ac685a7dc66ac204279935717cd4d7c4576647a5,RedVisor: Reasoning-Aware Prompt Injection Defense via Zero-Copy KV Cache Reuse,Y,RedVisor,tool-output,goal-hijack,reasoning,Security,adversarial,,high,Reasoning-aware PI defense w/ KV cache reuse; tested incl. adaptive GCG attacks.
754,1378649f3d7cfacaba92132e233146885c86e7fc,Bypassing Prompt Injection Detectors through Evasive Injections,Y,UNNAMED: Randomized/Adversarial Suffix Augmentation Training for task-drift probes,tool-output,goal-hijack,none,Security,adversarial,Activation-delta linear probe task-drift detectors (Abdelnabi et al.),high,Primarily an evasion-attack paper; also proposes suffix-augmentation retraining defense against the evasion attack.
755,7e6cd8d5c6680fc74482b761e472d4ca71c39023,Securing LLM-as-a-Service for Small Businesses: An Industry Case Study of a Distributed Chatbot Deployment Platform,N,,,,,Security,,,,"Industry case study combining existing defenses (Guard Prompts + GenTel-Shield); no novel technique proposed, applies existing tools."
756,ace8ae46e3f9e33fe92bb50fafd6973f2504e127,PINA: Prompt Injection Attack against Navigation Agents,N,,,,,Security,,,,"PINA is an attack paper (PI against navigation agents); evaluates existing self-reminder defense only, no new defense proposed."
757,85fe86932cb8563be3b28fabc01fa01cc9e77b6f,FinVault: Benchmarking Financial Agent Safety in Execution-Grounded Environments,N,,,,,Security,,,,"FinVault - benchmark paper, no defense."
758,c3e90e9c5afbadac2114e97101b695a8c6b9bff5,PRISM: Prompt Red-teaming and Injection Simulation for Models – A Scalable Framework for Evaluating LLM Robustness Against Malicious Prompts,N,,,,,Security,,,,"PRISM (Prompt Red-teaming/Injection Simulation) - red-teaming/testing framework, not a defense."
760,71f30c8b6aca4dbd4a81302ac30335421b1a8688,"Trust in LLM-controlled Robotics: a Survey of Security Threats, Defenses and Challenges",N,,,,,Security,,,,Survey of LLM-controlled robotics security; no novel defense.
761,71a878eaf0ba150a611610e3c5cbe6cebec1528d,Penetration Testing of Agentic AI: A Comparative Security Analysis Across Models and Frameworks,N,,,,,Security,,,,"Penetration-testing/red-team evaluation paper, no defense proposed."
762,a497744c319e8465df81a12ccfe60a2bce4017ea,Injecting Falsehoods: Adversarial Man-in-the-Middle Attacks Undermining Factual Recall in LLMs,Y,UNNAMED: Uncertainty-based Random Forest attack detector (chimera/Xmera),direct-input,silent-corruption,none,Security,adversarial,,high,Primarily attack paper (chimera MitM attacks on factual recall); also proposes RF classifier on uncertainty signals to flag attacked queries.
763,a33345c6aca10d3979aa33c612e8ca18363ce53d,Soft Instruction De-escalation Defense,Y,SIC (Soft Instruction Control),tool-output,goal-hijack,reasoning,Security,adversarial,CaMeL,high,Iterative prompt sanitization defense; tested vs AgentDojo + adaptive genetic-algorithm attacks.
764,add98c38c95c9639e0f7d07ca0087b087e1d00d1,Red-Teaming Coding Agents from a Tool-Invocation Perspective: An Empirical Security Assessment,N,,,,,Security,,,,"Red-teaming paper (ToolLeak, two-channel injection); evaluates existing defenses (PPL, PromptGuard, Agent-Scan) but proposes no new defense itself."
765,8ad664fac44d06bf3ea70e6e6a8869f348345ebe,BinaryShield: Cross-Service Threat Intelligence in LLM Services using Privacy-Preserving Fingerprints,Y,BinaryShield,tool-output,goal-hijack,ingestion,Security,adversarial,,high,Privacy-preserving cross-service threat-intel fingerprinting system for PI attack correlation.
766,96a7db0d73412d117e397fe90ddd72ecf098a1c3,LeakSealer: A Semisupervised Defense for LLMs Against Prompt Injection and Leakage Attacks,Y,LeakSealer,tool-output,goal-hijack,ingestion,Security,adversarial,,high,Semi-supervised HITL framework for jailbreak/PII leakage detection.
767,777c3fb3234532eab31bc6dc9a3388c67f163f81,An Empirical Evaluation of Prompt Injection Detection and Refusal-Usefulness Tradeoffs Using the deepset/prompt-injections Dataset,N,,,,,Security,,,,Empirical evaluation of existing lightweight ML detectors (TF-IDF+SVM etc.) as input gate; no new technique proposed.
768,5c771766b54a3e40aee1c045141a0119e2bdfee3,How Not to Detect Prompt Injections with an LLM,N,,,,,Security,,,,DataFlip - attack paper against known-answer-detection (KAD) defenses; no new defense.
769,73555d2a139417a205797d5cd6d1eaa2cfa977b4,Enhancing Security in LLM Applications: A Performance Evaluation of Early Detection Systems,N,,,,,Security,,,,"Comparative evaluation of existing PI detection tools (LLM Guard, Vigil, Rebuff) with minor patches; not a genuinely new named defense technique."
770,d9303eb738a56b0e72404d3ad57964c25611a226,Sentinel: SOTA model to protect against prompt injections,Y,Sentinel (qualifire/prompt-injection-sentinel),tool-output,goal-hijack,ingestion,Security,adversarial,,medium,Fine-tuned ModernBERT-large PI/jailbreak detection classifier; contribution mostly empirical/data curation not architectural.
771,b0794049c22fb3d868a907131d0e8c0a6511025e,Stronger Enforcement of Instruction Hierarchy via Augmented Intermediate Representations,Y,AIR (Augmented Intermediate Representations),tool-output,goal-hijack,reasoning,Security,adversarial,ISE (Instructional Segment Embeddings),high,Injects instruction-hierarchy signal at every layer; tested vs static + gradient-based (GCG) attacks.
