defense_row,defense_name,matched_mechanism_name,match_justification,match_confidence
15,"MELON (Masked re-Execution and TooL comparisON)","Indirect Prompt Injection (IPI)","Paper title/abstract states defense against 'Indirect Prompt Injection Attacks in AI Agents'; evaluated on AgentDojo's IPI attack suite against no-defense/other baselines",high
23,RobustRAG,PoisonedRAG,"baselines_compared explicitly lists empirical attacks tested: 'prompt injection attack, PoisonedRAG'",high
28,Retrieve-then-Solve,"UNNAMED: context-length-induced degradation independent of retrieval failure","Defense paper's own core finding IS this mechanism: shows accuracy degrades with input length even under 100% retrieval accuracy, independent of retrieval failure",high
28,Retrieve-then-Solve,"distraction by irrelevant context","One of 3 tested distraction conditions is 'essay tokens' (irrelevant filler text) inserted between evidence and question",low
32,"UNNAMED: Rot-aware rejection-sampling filter for long-horizon search","context rot (agentic/long-horizon search)","Paper explicitly studies and names 'context rot' phenomenon in long-horizon deep-search agentic tasks, matching registry entry's exact scope",high
33,AttnComp (Attention-guided Context Compression),"distraction by irrelevant context (graded by semantic relatedness)","Method compresses retrieved documents based on attention-derived relevance signal across varying degrees of document relevance (0-23 retained docs depending on relevance density)",low
35,Self-RAG,"distraction by irrelevant context (graded by semantic relatedness)","Self-RAG's critique mechanism evaluates retrieved-passage relevance to decide whether to use/discard them, addressing irrelevant retrieved content",low
36,Corrective Retrieval Augmented Generation (CRAG),"distraction by irrelevant context (graded by semantic relatedness)","CRAG's retrieval evaluator grades documents into Correct/Incorrect/Ambiguous relevance categories, and paper explicitly tests degradation 'as retriever quality worsens'",low
37,Astute RAG,"distraction by irrelevant context (graded by semantic relatedness)","Tested under RGB 'worst-case setting (all retrieved passages irrelevant/negative)' benchmark condition",low
37,Astute RAG,"UNNAMED: over-trust bias toward conflicting external evidence over correct parametric memory in RALMs","Paper explicitly analyzes cases where 'standard RAG actually underperforms No-RAG... due to noisy retrieval overriding correct internal knowledge' and measures how often internal vs external knowledge is trusted correctly in conflicts",high
52,IPIGuard,"Indirect Prompt Injection (IPI)","Evaluated on AgentDojo IPI attack suite (Important Instructions, InjecAgent-style) against no-defense/detector/tool-filter/spotlight baselines",high
53,InstructDetector,"Indirect Prompt Injection (IPI)","Explicitly a 'detection-based defense against Indirect Prompt Injection (IPI)', evaluated on BIPIA benchmark",high
54,Task Shield,"Indirect Prompt Injection (IPI)","Evaluated on AgentDojo's IPI attacks (Important Instructions, InjecAgent, Ignore Previous)",high
56,Rennervate,"Indirect Prompt Injection (IPI)","White-box defense explicitly targeting 'indirect prompt injection (IPI) attacks', evaluated against 5 named IPI attacks plus 15 baseline defenses",high
56,Rennervate,"Neural Exec","Paper explicitly tests transfer to '2 unseen gradient-based attacks (POUGH, Neural Exec)'",high
58,IntentGuard,"Indirect Prompt Injection (IPI)","General defense framework against 'indirect prompt injection attacks (IPIAs)', evaluated on AgentDojo/Mind2Web against adaptive PAIR/GCG-based injection attacks",high
60,AgentSentry,"Indirect Prompt Injection (IPI)","Models and defends against 'multi-turn indirect prompt injection (IPI)'; evaluated on AgentDojo across three IPI attack families",high
61,"UNNAMED: Digital forensic analysis framework for post-hoc IPI attack identification from agent execution logs","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty) - cannot determine evaluation targets",low
62,ClawGuard,"ChatInject","Baselines/benchmarks explicitly include 'ChatInject' as a tested web/local content-injection benchmark",high
62,ClawGuard,"Indirect Prompt Injection (IPI)","Runtime defense explicitly targeting 'indirect prompt injection' across web/local content, MCP tool poisoning, and skill-file injection channels",high
63,AttriGuard,"Indirect Prompt Injection (IPI)","New defense paradigm explicitly against 'Indirect Prompt Injection (IPI) attacks on LLM agents', evaluated on AgentDojo/Agent Security Bench",high
65,"Tool Result Parsing (ParseData/CheckTool)","Indirect Prompt Injection (IPI)","Training-free prompt-based defense against IPI attacks, evaluated on AgentDojo under 'Important Messages' severe-attack condition",high
70,"UNNAMED: Embedding-based semantic context analysis detector for IPI","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
71,"ICON (Inference-Time Correction)","Indirect Prompt Injection (IPI)","Probing-to-mitigation defense against 'adaptive Indirect Prompt Injection (IPI) attacks', evaluated on InjecAgent/AgentDojo and TrojanTools",high
72,PlanGuard,"Indirect Prompt Injection (IPI)","Training-free defense explicitly against 'Indirect Prompt Injection (IPI) attacks on LLM agents'",high
73,"Cognitive Firewall","Indirect Prompt Injection (IPI)","Three-stage architecture explicitly defends browser agents against 'Indirect Prompt Injection (IPI)'",high
80,CodeSentinel,"Indirect Prompt Injection (IPI)","Sanitizer explicitly 'defending Code LLMs against indirect prompt injection embedded in externally retrieved code context'",high
83,MIPIAD,"Indirect Prompt Injection (IPI)","Framework 'addresses indirect prompt injection detection' evaluated on BIPIA-derived templates translated to Bangla",high
85,DualView,"Indirect Prompt Injection (IPI)","Extends Dual LLM defense pattern against indirect prompt injection (IPI), evaluated on PinchBench for immediate and stored IPI",high
85,DualView,"Cross-Session Stored Prompt Injection (XSPI)","Paper coins and specifically tests 'stored IPI' where attacker-controlled data written to file/memory silently re-enters agent context as trusted content in a later read/session, closely matching XSPI's persistence-across-sessions concept",low
92,AgentVisor,"Indirect Prompt Injection (IPI)","Defense framework against both direct and indirect prompt injection attacks, evaluated across multiple direct/indirect attack variants",high
93,ReasAlign,"Indirect Prompt Injection (IPI)","Model-level alignment defense against indirect prompt injection, evaluated on CyberSecEval2, SEP, AgentDojo, InjecAgent",high
94,"UNNAMED: Hybrid multi-layered real-time PI detection framework","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
95,"RETA (Reasoning-Enabled Task Alignment)","Indirect Prompt Injection (IPI)","Training-based defense against 'indirect prompt injection (PI) attacks', evaluated on AgentDojo, ASB, InjecAgent under static and adaptive attacks",high
98,"UNNAMED: Three-layer middleware defense for RAG chatbots (Input Screening + Privilege-Constrained Context Assembly + Output Auditing)","Indirect Prompt Injection (IPI)","Explicitly 'a model-agnostic, three-layer middleware defense against both direct and indirect prompt injection in RAG-based chatbots'",high
103,TRACER-AI,"","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
104,IDE-Sanitizer,"","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
109,"UNNAMED: Context-Aware Interception Framework for PI detection/mitigation","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
110,"prompt-shield (Seven Cross-Domain Detection Techniques)","Indirect Prompt Injection (IPI)","Cross-validated against three peer-reviewed cross-benchmarks including InjecAgent, an IPI attack benchmark; targets 'subtle indirect injection lacking override keywords'",high
112,"UNNAMED: Positive-Security Prompt Firewall for healthcare PI/PHI protection","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
113,"UNNAMED: Representation Engineering-based Probing for IPI detection","Indirect Prompt Injection (IPI)","Systematic evaluation of IPI vulnerabilities tested against 'four IPI attack vectors (basic ignore-instruction/task-modification, InjecAgent-style content-embedded injections, and Stealth obfuscation attacks)'",high
114,"Secure Prompt Engineering Patterns (SPEP)","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
116,VIGIL,"Indirect Prompt Injection (IPI)","Addresses indirect prompt injection in agent tool/data streams, evaluated on SIREN benchmark against CaMeL/MELON/DRIFT and other IPI defenses",high
120,Progent,"Indirect Prompt Injection (IPI)","Least-privilege tool-call policy enforcement evaluated on AgentDojo and ASB against prompt-injection attack success rate",high
123,AgenTRIM,"Indirect Prompt Injection (IPI)","Reframes/addresses indirect prompt injection and tool misuse, evaluated on AgentDojo IPI suite against CaMeL/MELON/Progent/AgentArmor",high
123,AgenTRIM,"Cross-Tool Description Poisoning","Paper tests robustness to 'MPMA and Shadow attacks', described as description-based/tool-chaining-cue attacks embedded in tool descriptions, plausibly the same class as Cross-Tool Description Poisoning though named differently",low
124,AgentSys,"Indirect Prompt Injection (IPI)","Targets root cause of IPI defenses' shared weakness (context accumulation/persistence), evaluated on AgentDojo and ASB against ten and six prior IPI defenses respectively",high
125,NeuroTaint,"Indirect Prompt Injection (IPI)","Provenance auditing framework evaluated on InjecAgent and ToolEmu (established IPI/unsafe-tool-use benchmarks) alongside its own TaintBench",high
125,NeuroTaint,"Cross-Session Stored Prompt Injection (XSPI)","Explicitly targets and constructs test cases for '(C3) asynchronous provenance reuse, where a malicious instruction is stored in persistent memory... in one session and only triggers a sink in a later, temporally disconnected session' -- closely matching XSPI's cross-session persistence concept",low
126,"OpenClaw PRISM","Indirect Prompt Injection (IPI)","Runtime security layer explicitly addressing 'indirect prompt injection via fetched content'; block-rate evaluated on an internal baseline-ladder attack test set",low
130,"Safety-guided Chain-of-Thought (SCoT)","Indirect Prompt Injection (IPI)","MobileSafetyBench includes 50 high-risk tasks embedding indirect prompt injection in UI content; Table 1 reports all three tested agents largely fail to defend against these IPI attacks",high
134,"UNNAMED: Reflection-based defenses against Foot-in-the-Door IPI (Self-Reflection / Hesitation Reflection / Safe Reflection)","Foot-in-the-Door (FITD) attack","Paper introduces and evaluates its reflection-based defenses specifically against its own Foot-in-the-Door (FITD) attack, exact name match",high
134,"UNNAMED: Reflection-based defenses against Foot-in-the-Door IPI (Self-Reflection / Hesitation Reflection / Safe Reflection)","Indirect Prompt Injection (IPI)","Baseline is 'Vanilla Indirect Prompt Injection (IPI, reproduced from the InjectAgent benchmark)' against which defenses are evaluated",high
138,"UNNAMED: Policy Enforcement Point (PEP) for MCP tool-call boundary","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
139,MAScope,"","only compared against VanillaGPT ablation variant and OWASP Top-10 entity-extraction dataset; no named registry attack mechanism tested (case-study demonstration only, not a benchmark evaluation against a specific mechanism)",low
140,ContractGuard,"Indirect Prompt Injection (IPI)","Explicitly analyzes/extends 'Risk-Aware Causal Gating (RACG), a prior structural defense against indirect prompt injection', tested against modeled contract-forgery attacks that route dangerous tools via injected content",high
142,AuthGraph,"Indirect Prompt Injection (IPI)","Dual-graph alignment defense against indirect prompt injection, evaluated on AgentDojo and AgentDyn against CaMeL/DRIFT/Progent/SecAlign/PromptArmor",high
143,Aura,"Indirect Prompt Injection (IPI)","Evaluated on MobileSafetyBench, which includes 50 high-risk tasks embedding indirect prompt injection; reduces ASR on high-risk tasks from 40-42% to 4.4%",high
144,"PACT (Provenance-Aware Capability Contracts)","Indirect Prompt Injection (IPI)","Argument-level provenance monitor against indirect-prompt-injection defenses gap, evaluated on AgentDojo, InjecAgent, and Agent-SafetyBench against CaMeL/FIDES",high
147,"Cognitive Control Architecture (CCA)","Indirect Prompt Injection (IPI)","Dual-layer supervision framework 'for defending autonomous LLM agents against Indirect Prompt Injection (IPI)', tested against Direct/Ignore Previous/System Message/Important Messages attack types",high
148,CachePrune,"Indirect Prompt Injection (IPI)","Neuron-pruning defense against indirect prompt injection (IPI) attacks, tested on SQuAD/HotpotQA injected-instruction tasks and WildChat instruction-hijacking",high
150,"UNNAMED: Authorization framework for autonomous LLM agent threat mitigation","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
151,"Agentic Immune System (AIS) -- CIFT + DP-HONEY + cumulative leakage tracking","","evaluated only against generic text-level detection baselines (substring/fuzzy/semantic/LlamaGuard) and own synthetic multi-turn leakage suite; no specific named registry exfiltration mechanism identified as tested",low
152,RouteGuard,"Indirect Prompt Injection (IPI)","Transfer-tested on BIPIA 'for ordinary indirect prompt injection', achieving top F1 vs RENNERVATE baseline",high
156,PIIGuard,"","evaluated against simple rule-based text-substitution defenses and AutoGuard (a concurrent page-level defense), not against a specific named registry attack mechanism; PIIGuard itself is a defensive use of injection rather than tested against one",low
157,"OpenClaw-SRT (Semantic Routing & Trust)","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
158,AgentShield,"Indirect Prompt Injection (IPI)","Deception-based detection framework explicitly 'addresses indirect prompt injection (IPI)', tested with 48 evasion-designed adaptive attacks across three languages",high
159,AgentRedGuard,"Indirect Prompt Injection (IPI)","Companion defense to AGENTREDBENCH explicitly 'addressing indirect prompt injection (IPI) in enterprise SaaS-integrated LLM agents'",high
161,DE-FIVE,"Indirect Prompt Injection (IPI)","Addresses 'malicious image prompt attacks against VLMs' including 'indirect prompt injection attacks (where a third party embeds a hidden instruction into an image)', evaluated on meta-instruction test sets",high
164,"UNNAMED: Fraud-detection-inspired trajectory-feature detector (XGBoost, 42-dim features)","","validated only via a controlled synthetic simulation study with parameterized templates (no public multi-turn agent-security benchmark used); no specific named registry mechanism identified as tested",low
165,ProjGuard,"","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
166,"Unified Security Orchestration Framework (USOF)","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
167,"UNNAMED: Trust Context Separation for privileged AI agent systems","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
168,PromptArmor,"AgentVigil","Explicitly tests robustness against 'AgentVigil (a fuzzing-based method that iteratively optimizes new attack templates based on success feedback)' as an adaptive attack, exact name match to registry entry",high
168,PromptArmor,"Indirect Prompt Injection (IPI)","Guardrail-LLM defense against prompt injection attacks on LLM agents, evaluated on AgentDojo",high
170,DataSentinel,"Indirect Prompt Injection (IPI)","Game-theoretic detector for prompt injection, evaluated against 9 existing heuristic- and optimization-based prompt injection attacks",high
171,SecAlign++ / Meta-SecAlign,"Indirect Prompt Injection (IPI)","Model-level defensive fine-tuning against prompt injection, evaluated on SEP, AgentDojo, WASP, InjecAgent",high
172,"RTBAS (Robust Tool-Based Agent System)","Indirect Prompt Injection (IPI)","Adapts information flow control to defend against prompt injection, evaluated on AgentDojo's 629 prompt-injection test cases",high
178,DataFilter,"Indirect Prompt Injection (IPI)","Test-time filter against prompt injection, evaluated on AgentDojo, InjecAgent, and SEP",high
179,AgentArmor,"Indirect Prompt Injection (IPI)","Runtime security framework against prompt injection attacks, evaluated on AgentDojo and ASB across 14 combined attack types",high
183,"Robustness via Referencing (instruction-referencing defense)","Indirect Prompt Injection (IPI)","Prompt injection defense evaluated across direct injection (AlpacaFarm) and 'the more practical indirect-injection scenario (Inj-SQuAD/Inj-TriviaQA)'",high
185,"Polymorphic Prompt Assembling (PPA)","Separator Injection Attack","Defense is explicitly designed against delimiter/separator-guessing bypass ('A Bypass' adaptive attack that guesses the fixed delimiter), directly matching the Separator Injection Attack mechanism",high
185,"Polymorphic Prompt Assembling (PPA)","Indirect Prompt Injection (IPI)","Evaluated against 1,200 self-collected adversarial prompt injection samples across 12 attack categories plus Pint-Benchmark/GenTel-Bench external benchmarks",low
188,"UNNAMED: Multi-agent PI defense pipeline (Chain-of-Agents / Coordinator-based)","Indirect Prompt Injection (IPI)","Multi-agent defense framework explicitly 'against prompt injection attacks on LLM-integrated applications', evaluated on own HPI Attack Dataset spanning direct overrides, tool-manipulation, and other injection categories",low
191,PISanitizer,"Indirect Prompt Injection (IPI)","Prompt-sanitization defense for long-context LLMs against prompt injection, evaluated on LongBench, Open-Prompt-Injection, and AgentDojo against 6 heuristic/optimization-based attacks",high
195,SecInfer,"Indirect Prompt Injection (IPI)","Inference-time-scaling defense against prompt injection, evaluated on InjecAgent and AgentDojo against Combined Attack and GCG",high
196,"UNNAMED: Attack-derived shield-prompt defenses (Ignore/Escape/Fake-Completion/Combined Defense)","Indirect Prompt Injection (IPI)","Attack-derived defenses evaluated against direct injection (AlpacaFarm) and indirect injection (poisoned retrieved-content QA dataset)",high
197,"UNNAMED: Embedding-based traditional-ML classifiers for PI detection","Indirect Prompt Injection (IPI)","Trains/evaluates classifiers on an aggregated dataset of prompt injection/jailbreak prompts from six existing HF datasets and compares to prompt-injection detector baselines",low
198,PromptSleuth,"Indirect Prompt Injection (IPI)","Semantic-oriented server-side defense against prompt injection, evaluated on DataSentinel-Bench and AgentDojo",high
198,PromptSleuth,"Cross-Session Stored Prompt Injection (XSPI)","Case study shows injected 'remember that X' instructions persisting in ChatGPT/Gemini long-term memory across sessions even after visible chat history is cleared, closely matching XSPI's persistence concept",low
199,PIShield,"Indirect Prompt Injection (IPI)","Lightweight internal-representation-based prompt injection detector, compared against 8 baseline PI detectors",high
200,"Type-directed privilege separation","Indirect Prompt Injection (IPI)","System-level defense against prompt injection validated on three agentic case studies (shopping, calendar, bug-fixing) with injected malicious content in emails/reports",high
201,"UNNAMED: Three-layer defense pipeline for RAG PI (embedding content filtering + hierarchical guardrails + response verification)","Indirect Prompt Injection (IPI)","Targets 'prompt injection vulnerabilities specific to retrieval-augmented generation', evaluated on own 847-test-case benchmark across five attack categories",high
202,"Meticulous Thought Defender","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
203,ShadowPlay,"","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
204,"UNNAMED: Four-layer guardrail system for offensive-security AI agents","UNNAMED: PI-based counter-attack on offensive AI cybersecurity agents (four-stage attack anatomy + seven-category taxonomy incl. Unicode homograph exploitation)","Defense paper documents and tests against its own 'four-stage attack anatomy' and 'seven-category attack taxonomy (including...Unicode homograph exploitation and multi-layer encoding schemes)', matching the registry entry's description verbatim -- appears to be the same source paper",high
206,"Cross-Agent Multimodal Provenance-Aware Defense Framework","Indirect Prompt Injection (IPI)","Protects against 'multimodal prompt injection attacks spanning text, images, metadata, and agent-to-agent messages', compared against keyword filtering/safety fine-tuning/output filtering baselines",low
210,"LLM Firewall (Validator Agent)","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
212,DRIP,"Indirect Prompt Injection (IPI)","Representation-editing defense against prompt injection attacks, evaluated on SEP, AlpacaFarm, and InjecAgent against Naive/Ignore/Completion/Escape/HackaPrompt/GCG attacks",high
216,SHIELD,"","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
217,AttnTrace,"Indirect Prompt Injection (IPI)","Context traceback method evaluated for 'prompt injection (instruction-based)' attack attribution across MuSiQue/NarrativeQA/QMSum",high
217,AttnTrace,"PoisonedRAG","Evaluated for 'knowledge corruption (disinformation-based, e.g., PoisonedRAG)' attack attribution across NQ/HotpotQA/MS-MARCO",high
219,"UNNAMED: Three-tier compositional runtime-verification fabric (MonPoly/RTLola-based) for LLM-assisted ISR swarms","Indirect Prompt Injection (IPI)","Core case study evaluation: an indirect prompt injection embedded in retrieved mission data induces real LLM planners to split a prohibited objective across four platforms, which the mission-tier monitor is shown to detect compositionally",medium
220,"UNNAMED: Scientist Persona + Provenance Audit mitigations against indirect data poisoning","Indirect Data Poisoning (Distributed Denial of Science)","Same paper introduces and empirically evaluates this exact attack (450 controlled runs; 84.22% retrieval, 49.56% full success rate) and tests the two mitigations directly against it, reducing full success to 0.0%",high
225,"CommandSans","Indirect Prompt Injection (IPI)","Evaluated across five established IPI benchmarks (AgentDojo, BIPIA, Agent Security Bench, InjecAgent, SEP) against Naive/Ignore/Completion/Escape/HackaPrompt/GCG-style injected instructions plus a human red-teaming study, achieving 7-19x ASR reduction",high
226,"ARLAS (Adversarial Reinforcement Learning for Agent Safety)","Indirect Prompt Injection (IPI)","Co-trains against an attacker generating indirect prompt injections inserted into tool-output observations; evaluated on BrowserGym (in-distribution) and AgentDojo (out-of-distribution IPI benchmark)",high
228,"ACE (Abstract-Concrete-Execute)","Indirect Prompt Injection (IPI)","Evaluated on InjecAgent and Agent Security Bench (both IPI benchmarks) plus LangChain Tool Usage, preventing essentially all attacks while comparing structurally against StruQ and IsolateGPT",high
232,"Tool-Guard","Cross-Tool Description Poisoning","Paper's own named threat model (cross-tool description poisoning, where a non-critical tool's manipulated description steers the planner toward misusing a different safety-critical tool); evaluated on AgentDojo and ASB, reducing ASR to near-zero across 5 planner models",high
233,"UNNAMED: layered MCP descriptor defense (descriptor integrity verification + pre-context semantic vetting + runtime guardrails)","UNNAMED: descriptor-level semantic manipulation attack (MCP tool-selection bias)","Same paper formalizes and empirically evaluates three descriptor-driven attack classes (Tool Poisoning, Shadowing, Rug Pull) across 1800+ runs on 3 LLMs, testing the layered defense stack directly against them",high
240,"SMCP (Secure Model Context Protocol)","","Design/proposal paper with no working reference implementation or empirical security evaluation; claims are argued via worked examples and threat-to-control mapping rather than measurement against any specific attack",low
245,"MCP-Scanner","","no baselines_compared/key_result/technical_summary data available in workbook (all fields empty)",low
