row,paper_id,title,has_defense,defense_name,channel,consequence,defense_intervention_point,track,validated_against,is_extension_of,confidence,notes
229,arxiv:2503.12188,Multi-Agent Systems Execute Arbitrary Malicious Code,N,,multi-agent,goal-hijack,none,Security,,,,Attack-only paper (MAS hijacking); no defense proposed
230,c17678b39d95c7d80e0bca0dcebfe72ad8d30395,Model Context Protocol Threat Modeling and Analysis of Vulnerabilities to Prompt Injection with Tool Poisoning,N,,tool-metadata,goal-hijack,none,Security,,,,"Empirical threat-modeling/measurement across 7 MCP clients; no new defense proposed, compares built-in client behaviors"
231,f49a3d773c41cb6943f94e26147f60fc51648d4e,MCP-ITP: An Automated Framework for Implicit Tool Poisoning in MCP,N,,tool-metadata,goal-hijack,none,Security,,,,Attack framework (implicit tool poisoning red-teaming); no defense proposed
232,96146fc642ef28da0ad11f620d5d2d6e4719e4b2,Think Twice Before You Act: Protecting LLM Agents Against Tool Description Poisoning via Isolated Planning,Y,Tool-Guard,tool-metadata,goal-hijack,reasoning,Security,adversarial,,high,Isolated-planning defense against cross-tool description poisoning; evaluated on AgentDojo vs tool filtering/repeated prompt/system prompt/Drift/Progent baselines
233,08cec247465505fc4fb5ac6ab841c2b29a3c0477,Semantic Attacks on Tool-Augmented LLMs: Securing the Model Context Protocol Against Descriptor-Level Manipulation,Y,UNNAMED: layered MCP descriptor defense (descriptor integrity verification + pre-context semantic vetting + runtime guardrails),tool-metadata,goal-hijack,none,Security,adversarial,,high,Full-stack mitigation against Tool Poisoning/Shadowing/Rug Pull descriptor attacks; evaluated in controlled adversarial MCP scenarios (GPT-5.3/DeepSeek-V3/LLaMA-3.5)
234,8cfd7609a0a41d7d462229d1b010afba148771a8,Temporal Dynamics of Memory Poisoning in Web3-Style LLM Agents,N,,memory,persistence-backdoor,none,Both,,,,"Trajectory-level measurement framework/benchmark for temporal memory poisoning; defines risk metrics, no mitigation proposed"
235,d44e3f722dcb61e16a54a3978f473a6a947a072e,When Routine Chats Turn Toxic: Unintended Long-Term State Poisoning in Personalized Agents,N,,memory,silent-corruption,none,Both,,,,ULSPB benchmark studying incidental long-term state poisoning from routine (non-adversarial) chats; tests an adapted existing defense (ASB-PPL) as baseline but does not propose a new defense
236,5f4efbe3aae1d8f44ceab1da257ae685d6beb00b,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,N,,tool-output,goal-hijack,none,Security,,,,"Agent Security Bench (ASB): benchmark formalizing/evaluating existing attacks and defenses, not proposing a new defense technique"
237,363ebeb72b02ba4261d92957df0c0e53f438297f,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,N,,tool-output,reasoning-corruption,none,ML/AI,,,,"AgentLAB benchmark for long-horizon attacks; evaluates existing defenses (Self-Reminder, Llama-Guard, Repeated Prompt) as baselines, no new defense proposed"
238,299ec08b60dbb993f96cf45c011c387477e3f9c8,Automatic Red Teaming LLM-Based Agents With Model Context Protocol Tools,N,,tool-metadata,goal-hijack,none,Security,,,,"AutoMalTool is an attack/red-teaming framework; compared against existing detectors (MCP-Scan, A.I.G) it evades, not a defense contribution"
